psn,psnr,ssim,ksize
55,25.1157580550857,0.7168711915200077,13
55,24.642897170210706,0.7016241474294485,15
55,24.195603309519463,0.688897615046099,17
55,23.75606900303286,0.6776112449438852,19
55,23.369138242132603,0.6681089248330729,21
55,23.017565302240705,0.6595748066247744,23
55,22.68949153431528,0.6509998992959156,25
55,22.380789789963423,0.6436704860832533,27
55,22.09050349757899,0.636661445084483,29
55,21.79831674241248,0.6302810847226379,31
55,21.523528125434307,0.6243739367867821,33
55,21.28051585599113,0.6186217153836686,35
55,21.059791871260288,0.6131585265119199,37
55,20.8557468405751,0.6077036793599508,39
55,20.669094304105787,0.602631703618827,41
55,20.498926869901787,0.5979112767000024,43
55,20.34411043082107,0.5938530208139158,45
55,20.198159538402788,0.5898937965473873,47
55,20.055797920188194,0.5858667215247519,49
55,19.91330967669756,0.5818555389478347,51
55,19.773113800335643,0.5779814510448164,53
55,19.63751461170684,0.5742737715416091,55
55,19.501183532210984,0.5705465475533222,57
55,19.365524003647167,0.5668990573682963,59
55,19.232800806987804,0.5633929390925099,61
65,11.151983031955844,0.07721132280768966,3
65,16.550906428439923,0.36546742370849533,5
65,21.906442621919258,0.6539103162398243,7
65,24.436287847646284,0.7177098832861651,9
65,24.659503424920366,0.7123738617439087,11
65,24.42046888860834,0.7002662669157226,13
65,24.075788678068378,0.6876695853434492,15
65,23.68697836367058,0.6762117071434561,17
65,23.304542304052497,0.665973243567385,19
65,22.94827575644101,0.6570531429017256,21
65,22.612944708476576,0.6486967926366242,23
65,22.31403649969675,0.641570194092744,25
65,22.024300284664395,0.6346898011388887,27
65,21.756612225210844,0.6282504238517567,29
65,21.500497308566683,0.6222098768987584,31
65,21.268099677542608,0.6167302089270503,33
65,21.056436444969236,0.6117297620787515,35
65,20.855339041841397,0.60700974959758,37
65,20.664244620518257,0.6020671694216241,39
65,20.491806520370194,0.5975014480871234,41
65,20.345017398585604,0.5930777714134612,43
65,20.20653248785177,0.5888792369478835,45
65,20.06922289554117,0.5848595532083665,47
65,19.932266070852368,0.5810991136025988,49
65,19.79610159017199,0.5775302291506594,51
65,19.667637644794347,0.5740465787172342,53
65,19.540347548261433,0.5705735192996787,55
65,19.414774966070453,0.5670431773167145,57
65,19.292223987083272,0.5635644185092474,59
65,19.16830326447476,0.5605276450751897,61
75,9.025644871813531,0.04041696978045959,3
75,12.140717016414166,0.1306601483240148,5
75,15.86090160691228,0.3716099775333005,7
75,19.43359155684441,0.5645776568670081,9
75,21.912000285748885,0.6445542751693384,11
75,22.696655623400943,0.662147668289765,13
75,22.78184916127705,0.6604177840725352,15
75,22.667915952781435,0.6543926082123268,17
75,22.49499712761164,0.6471146410407748,19
75,22.303335263030505,0.6399801454983836,21
75,22.091460264949486,0.6340320793966802,23
75,21.87207932856229,0.628056799035956,25
75,21.649719473398946,0.6218714959532325,27
75,21.400981470161433,0.6162666818016073,29
75,21.185395337599793,0.6110353984139563,31
75,20.98340773607841,0.6062239559961851,33
75,20.796374956096763,0.6018220189402955,35
75,20.617707940236187,0.5977661308483639,37
75,20.458449916963882,0.5938563527476707,39
75,20.314462107348888,0.5900963081144118,41
75,20.170516581082644,0.586179031661225,43
75,20.02488333513677,0.5822407788689788,45
75,19.887473644313193,0.5787414691225519,47
75,19.748702232643684,0.5754122797512268,49
75,19.616079793358928,0.5718655025312536,51
75,19.484437122593526,0.5680342031228773,53
75,19.361172982509412,0.564375281058193,55
75,19.23624766260134,0.5611281363882923,57
75,19.110658789862423,0.5584319509069029,59
75,18.984322052909953,0.5558112106794001,61
85,7.376868006917042,0.018715088701186995,3
85,8.91880967701214,0.03815422165934554,5
85,10.734002186339849,0.08899897055976859,7
85,12.763593987941125,0.20778039773552107,9
85,14.82518458725795,0.34688429460867737,11
85,16.68348438931401,0.46052560980919355,13
85,18.265248441563763,0.5264858877945845,15
85,19.372407522528835,0.5623521471276606,17
85,20.0280083713941,0.5802166505273728,19
85,20.34436573510397,0.5874513866419169,21
85,20.440698053702583,0.5892619321665499,23
85,20.453530510131976,0.5896673925913781,25
85,20.417504908369814,0.5871754684545109,27
85,20.335546181978373,0.5837645548057295,29
85,20.2248158122315,0.5808187431894709,31
85,20.13572653432055,0.5780990054281545,33
85,19.98302832150631,0.5753463429699307,35
85,19.871971349447687,0.5729024706438922,37
85,19.770074699647317,0.5705481509108715,39
85,19.66252274114349,0.5683888462045691,41
85,19.56286023015808,0.5661697194643676,43
85,19.441504560423176,0.5628209699617536,45
85,19.330826558397412,0.5601950838797335,47
85,19.218021236077647,0.5581752471069923,49
85,19.10991923195861,0.5556119639422444,51
85,18.98981610824937,0.5527321095808382,53
85,18.87183178894912,0.5503767775917824,55
85,18.75049393389378,0.5478661693199818,57
85,18.631557269150246,0.5455945072541556,59
85,18.512519888135234,0.5433978921405769,61
95,6.0073170885412885,0.007367427298642469,3
95,6.400385362991701,0.010986587739314792,5
95,6.814146406566052,0.0173148096871247,7
95,7.232563780238727,0.02511696356868687,9
95,7.680958671222148,0.03294679459357538,11
95,8.12521769550731,0.043208597836329306,13
95,8.57237082347135,0.05819427148262055,15
95,9.051907425888295,0.08055879889582747,17
95,9.531362820570436,0.10928817116130185,19
95,9.987201671957603,0.14276594932040496,21
95,10.433395974538072,0.17564208415825416,23
95,10.881249857290445,0.20446459504571549,25
95,11.321145104747094,0.2353989010409895,27
95,11.742713977778056,0.2618369759815411,29
95,12.179499507353631,0.28776146557597376,31
95,12.544372002065757,0.3070241935982098,33
95,12.903659426354135,0.3250871358540455,35
95,13.197716035804545,0.3423280552675717,37
